id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
428539,507162,18000.0,18000.0,15706.3646792, 36 months,17.58,646.96,F,F2,Matrix Service,5 years,RENT,48000.0,Verified,Jul-2009,Does not meet the credit policy. Status:Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=428539," I would like to take out a loan for 15,000 to consolidate my credit cards and a few other bills into one monthly payment.  I want to do this to help pay off faster and to help better my credit score.",debt_consolidation,consolidate cc debt and a few other bill,190xx,PA,13.82,0.0,May-2004,7.0,,,12.0,0.0,9611.0,93.3,21.0,f,0.0,0.0,23277.18,19929.65,18000.0,5277.18,0.0,0.0,0.0,Aug-2012,686.78,Sep-2012,Oct-2013,0.0,,1.0,INDIVIDUAL,,,,0.0,,,,,,,,,,,,,,,,,
54117344,57658059,3600.0,3600.0,3600.0, 36 months,14.65,124.18,C,C5,Case Manager,10+ years,RENT,49000.0,Source Verified,Jul-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=54117344,,debt_consolidation,Debt consolidation,029xx,RI,38.72,2.0,Sep-1996,0.0,0.0,,6.0,0.0,4256.0,72.1,22.0,f,3103.69,3103.69,739.22,739.22,496.31,242.91,0.0,0.0,0.0,Jan-2016,124.18,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,1.0,60.0,101246.0,,,,,,,,,,,,5900.0,,,
65675453,70308242,21000.0,21000.0,21000.0, 36 months,6.24,641.15,A,A2,Senior Director,3 years,MORTGAGE,184000.0,Not Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65675453,,debt_consolidation,Debt consolidation,641xx,MO,9.64,1.0,Jun-2005,0.0,23.0,,6.0,0.0,36914.0,82.6,13.0,w,20468.05,20468.05,626.59,626.59,531.95,94.64,0.0,0.0,0.0,Dec-2015,641.15,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,330737.0,,,,,,,,,,,,44700.0,,,
5714916,7127072,5550.0,5550.0,5550.0, 36 months,14.33,190.58,C,C2,carter motor company,10+ years,RENT,27500.0,Source Verified,Sep-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=5714916,"  Borrower added on 09/07/13 > I WISH TO PAY DOWN SOME CREDIT CARD DEBT, AND PAY OFF SMALLER ACCOUNTS. I WANT TO USE 1000.00 FOR THE CHRISTMAS HOLIDAY THAT WILL BE HERE SOON.<br>",debt_consolidation,interest saver,750xx,TX,18.2,0.0,Sep-1992,0.0,,,9.0,0.0,8959.0,66.9,18.0,w,1617.0,1617.0,5145.66,5145.66,3933.0,1212.66,0.0,0.0,0.0,Jan-2016,190.58,Jan-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,204.0,20402.0,,,,,,,,,,,,13400.0,,,
57305464,61008201,15000.0,15000.0,15000.0, 60 months,11.53,330.12,B,B5,Chemical Operator,2 years,RENT,50000.0,Source Verified,Aug-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=57305464,,debt_consolidation,Debt consolidation,072xx,NJ,12.75,0.0,Sep-1991,1.0,63.0,,11.0,0.0,18733.0,42.2,28.0,w,14051.98,14051.98,1640.99,1640.99,948.02,692.97,0.0,0.0,0.0,Jan-2016,330.12,Feb-2016,Jan-2016,0.0,63.0,1.0,INDIVIDUAL,,,,0.0,1663.0,18733.0,,,,,,,,,,,,44400.0,,,
31056021,33619183,11400.0,11400.0,11400.0, 36 months,12.99,384.06,C,C1,Energy Services Specialist,2 years,RENT,38000.0,Not Verified,Oct-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=31056021,,debt_consolidation,Debt consolidation,921xx,CA,28.9,0.0,Mar-2007,1.0,,,8.0,0.0,20632.0,79.0,13.0,w,7179.29,7179.29,5740.33,5740.33,4220.71,1519.62,0.0,0.0,0.0,Jan-2016,384.06,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,42470.0,,,,,,,,,,,,26100.0,,,
8958409,10750394,15000.0,15000.0,15000.0, 36 months,10.99,491.01,B,B2,Manager,10+ years,MORTGAGE,130000.0,Not Verified,Nov-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8958409,,debt_consolidation,Consolidate,330xx,FL,21.36,0.0,May-1985,0.0,,,17.0,0.0,30939.0,90.7,50.0,f,5113.1,5113.1,12275.6,12275.6,9886.9,2388.7,0.0,0.0,0.0,Dec-2015,491.01,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,415945.0,,,,,,,,,,,,34100.0,,,
3241018,3983943,18500.0,18500.0,18500.0, 36 months,6.62,568.02,A,A2,US POSTAL SERVICE,10+ years,MORTGAGE,54000.0,Not Verified,Feb-2013,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=3241018,  Borrower added on 01/23/13 > Had to make necessary home repairs on my Discover Card a couple of years ago.  Now the trial interest rate is over and I must transfer the amount to a new loan.  Employed with same company for 26 years and have stable finances.<br>,credit_card,Credit Card Refi,150xx,PA,13.82,0.0,Mar-2003,0.0,,,6.0,0.0,7063.0,39.5,21.0,f,0.0,0.0,20346.2055616,20346.21,18500.0,1846.21,0.0,0.0,0.0,Jun-2015,5019.03,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,89629.0,,,,,,,,,,,,17900.0,,,
36200757,38912120,1000.0,1000.0,1000.0, 36 months,14.31,34.33,C,C4,Radiologic Technologist,10+ years,RENT,60000.0,Not Verified,Dec-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=36200757,,medical,Medical expenses,722xx,AR,10.73,0.0,Sep-1978,1.0,29.0,,6.0,0.0,18863.0,87.7,19.0,f,686.96,686.96,445.49,445.49,313.04,132.45,0.0,0.0,0.0,Jan-2016,34.33,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,21213.0,,,,,,,,,,,,21500.0,,,
11657199,13629375,12000.0,12000.0,12000.0, 60 months,17.57,301.93,D,D2,Director of sales,4 years,MORTGAGE,50000.0,Verified,Feb-2014,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=11657199,  Borrower added on 02/10/14 > To pay off credit cards and yard landscaping<br><br> Borrower added on 02/10/14 > To pay off credit cards and to pay for home landscaping.<br>,debt_consolidation,Debt consolidation,853xx,AZ,14.88,0.0,Oct-2010,0.0,,69.0,9.0,3.0,5422.0,44.8,9.0,w,8751.27,8751.27,6642.46,6642.46,3248.73,3393.73,0.0,0.0,0.0,Jan-2016,301.93,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,183939.0,,,,,,,,,,,,12100.0,,,
50425916,53805643,1850.0,1850.0,1850.0, 36 months,12.69,62.06,C,C2,Day Care Assistance,8 years,RENT,35000.0,Source Verified,Jun-2015,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=50425916,,other,Other,125xx,NY,20.34,0.0,Mar-1991,0.0,,,3.0,0.0,15416.0,97.0,9.0,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,15416.0,,,,,,,,,,,,15900.0,,,
8855477,10647551,3000.0,3000.0,3000.0, 36 months,17.76,108.1,D,D1,HR MANAGER,8 years,RENT,65000.0,Not Verified,Nov-2013,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=8855477,,other,Personal,296xx,SC,22.6,0.0,Apr-2006,0.0,,,9.0,0.0,17313.0,84.9,13.0,f,997.92,997.92,2810.45,2810.45,2002.08,808.37,0.0,0.0,0.0,Jan-2016,108.1,Feb-2016,Jan-2016,0.0,,1.0,INDIVIDUAL,,,,0.0,0.0,39516.0,,,,,,,,,,,,20400.0,,,
65463193,70049947,7000.0,7000.0,7000.0, 36 months,12.59,234.48,C,C2,Driver ,5 years,MORTGAGE,65000.0,Source Verified,Nov-2015,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=65463193,,home_improvement,Home improvement,275xx,NC,9.55,0.0,Aug-2001,1.0,66.0,,5.0,0.0,3643.0,58.8,8.0,f,6676.23,6676.23,464.06,464.06,323.77,140.29,0.0,0.0,0.0,Jan-2016,234.48,Feb-2016,Jan-2016,0.0,66.0,1.0,INDIVIDUAL,,,,0.0,0.0,106991.0,,,,,,,,,,,,6200.0,,,
